epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.48043112692832945,0.8536024914741516,0.4230292520523071,0.88975,0.001994524634420589
2,0.48071424436569216,0.8539023687362671,0.41729591393470766,0.894,0.001978158526933439
3,0.4651614614963531,0.8604593474388122,0.4187815499305725,0.891,0.001951080988037006
4,0.4663284981250763,0.8611510482788086,0.4190927848815918,0.89475,0.0019135886849137793
5,0.46459299259185793,0.8584010677337647,0.4253717305660248,0.88575,0.0018660923910825465
6,0.45239502091407774,0.8705407662391662,0.41769562292099,0.89525,0.0018091124858777598
7,0.4609557067871094,0.862927129650116,0.41751294732093813,0.8975,0.0017432732530646554
8,0.45581964263916014,0.8678647933959961,0.41755540561676024,0.89325,0.0016692960410556786
9,0.45764310503005984,0.8634567204475403,0.4174157562255859,0.89575,0.0015879913596663266
10,0.445865265417099,0.8736068437576294,0.42103217720985414,0.895,0.0015002499999999998
11,0.44979499740600587,0.871266269493103,0.42201100850105283,0.89275,0.0014070332747542623
12,0.45265133476257324,0.8658200900077819,0.4206358458995819,0.89575,0.0013093624858777598
13,0.4401990993499756,0.8786585375785828,0.41843127870559693,0.898,0.0012083077349723502
14,0.44599309549331667,0.8714740026473999,0.41974245524406434,0.896,0.0011049761990360196
15,0.4363414591789246,0.8816661933898926,0.4186253476142883,0.892,0.0010005
16,0.439986105966568,0.8775415722846985,0.41757568073272705,0.89325,0.0008960238009639805
17,0.4403165635585785,0.8778548151969909,0.41941797590255736,0.89475,0.0007926922650276495
18,0.4430683002948761,0.8769583491325379,0.4197821636199951,0.89125,0.0006916375141222402
19,0.4342126554012299,0.8821100794792175,0.4214188680648804,0.89375,0.0005939667252457377
20,0.44614152331352236,0.8763127862930298,0.42282309556007386,0.89025,0.0005007500000000002
21,0.43217139706611635,0.888113503074646,0.4173772213459015,0.89375,0.0004130086403336732
22,0.4410601007938385,0.8767649066925048,0.4174535865783691,0.89125,0.00033170395894432155
23,0.43081238503456115,0.884766616153717,0.42369009375572203,0.8915,0.0002577267469353446
24,0.43078250393867495,0.8831445035934449,0.41938671898841856,0.89475,0.00019188751412224013
25,0.43347762684822083,0.882412401008606,0.4167680084705353,0.89525,0.00013490760891745352
26,0.4360371648788452,0.8818789732933044,0.4174438636302948,0.8955,8.741131508622032e-05
27,0.4321750953197479,0.8842433638572693,0.41863422775268555,0.89175,4.991901196299404e-05
28,0.4302408588886261,0.88522574634552,0.4192799723148346,0.893,2.2841473066561212e-05
29,0.4339221573352814,0.8820136863708496,0.41872820925712584,0.89225,6.475365579410735e-06
30,0.4287398513793945,0.8861659671783447,0.41894374561309816,0.8945,0.002
31,0.4348074954986572,0.8819839757919311,0.4182991216182709,0.89275,0.0019986302199871964
32,0.4420871916770935,0.8755531762123108,0.42181624460220335,0.88975,0.001994524634420589
33,0.4296685592651367,0.8866362002372742,0.42331370687484743,0.89,0.0019876944964248404
34,0.4379868401050568,0.8808615651130677,0.4270690474510193,0.89,0.001978158526933439
35,0.4329153477191925,0.885799112701416,0.4196515221595764,0.89225,0.0019659428633759237
36,0.4270354145050049,0.8880676050186157,0.4238694071769714,0.894,0.001951080988037006
37,0.4358992464542389,0.8828849584579468,0.4201796841621399,0.8895,0.0019336136362839529
38,0.4326152596473694,0.8828685503959656,0.4247752511501312,0.8885,0.0019135886849137793
39,0.4289343985557556,0.8887030708312988,0.4240135009288788,0.8835,0.0018910610209262734
40,0.4244673312664032,0.8899973090171814,0.43012617468833925,0.89175,0.0018660923910825465
41,0.43807965807914734,0.8804272903442383,0.4204568319320679,0.88825,0.001838751232661451
42,0.4272912830352783,0.889324172782898,0.4204543123245239,0.88975,0.0018091124858777598
43,0.4184676551818848,0.8956081543922424,0.4273141226768494,0.8885,0.0017772573884762422
44,0.4182128209114075,0.8952650506019593,0.42727971816062926,0.8855,0.0017432732530646554
45,0.41853315834999083,0.8958576246261597,0.42226675343513487,0.88675,0.0017072532277959543
46,0.4169674828052521,0.8947316027641297,0.42687485718727114,0.8915,0.0016692960410556786
47,0.4215371516227722,0.8918417413711548,0.4217324800491333,0.888,0.0016295057308543125
48,0.42269107604026795,0.8903670033454895,0.4235822095870972,0.885,0.0015879913596663266
49,0.42141469435691836,0.8939767663955689,0.4195026454925537,0.89375,0.0015448667154975195
50,0.4170681427001953,0.8960366564750671,0.423773873090744,0.88375,0.0015002499999999998
51,0.41692630715370177,0.8947490605354309,0.42156651663780215,0.89375,0.0014542635044896767
52,0.4158540170669556,0.8962359437942505,0.421996279001236,0.88975,0.0014070332747542623
53,0.41699113183021547,0.8962862719535828,0.43412855243682863,0.8815,0.0013586887655705278
54,0.4146535900115967,0.8979455841064453,0.42454300808906553,0.887,0.0013093624858777598
55,0.4080003126621246,0.9046488995552063,0.4214739108085632,0.892,0.0012591896355799693
56,0.41222629799842836,0.900250560760498,0.4217777717113495,0.891,0.0012083077349723502
57,0.4126784801959991,0.897815667438507,0.4287549872398376,0.89275,0.0011568562478077107
58,0.4052466612815857,0.9065233868598938,0.424834801197052,0.88875,0.0011049761990360196
59,0.40597091941833496,0.905108209323883,0.42583780217170714,0.89,0.0010528097882648222
60,0.4120727307319641,0.9002453762054443,0.4273692429065704,0.89125,0.0010005
61,0.41715253930091856,0.8947159869194031,0.42643018674850464,0.8855,0.0009481902117351778
62,0.4076461851596832,0.9061904495239258,0.4255728936195374,0.889,0.0008960238009639805
63,0.39788658747673034,0.9120490810394287,0.42591877341270445,0.8895,0.0008441437521922892
64,0.40752990927696225,0.9045314901351929,0.4273654429912567,0.885,0.0007926922650276495
65,0.4029418681144714,0.9069579365730286,0.4283879578113556,0.88975,0.0007418103644200306
66,0.3980109803676605,0.9112827785491944,0.42595403265953063,0.887,0.0006916375141222402
67,0.40016316232681276,0.908574737739563,0.422836620092392,0.89,0.0006423112344294724
68,0.4058360715866089,0.9052062623023986,0.4257911326885223,0.889,0.0005939667252457377
69,0.3995355511188507,0.9089225419998169,0.42857002282142637,0.88625,0.000546736495510323
70,0.40315238447189333,0.9079371494293212,0.4246793820858002,0.8875,0.0005007500000000002
71,0.403626997756958,0.9067786948204041,0.42861999678611756,0.88475,0.00045613328450248077
72,0.4095307536125183,0.900749474143982,0.4239026238918304,0.8895,0.0004130086403336732
73,0.40120934648513795,0.9081084131240845,0.42548935508728025,0.886,0.00037149426914568766
74,0.4041504111289978,0.908351395702362,0.4251983277797699,0.88675,0.00033170395894432155
75,0.39800468583106996,0.9118518785476685,0.42481710720062255,0.88975,0.0002937467722040458
76,0.39719539022445677,0.9120519017219544,0.4290269467830658,0.887,0.0002577267469353446
77,0.40267222805023195,0.9068490805625915,0.4295210568904877,0.8855,0.00022374261152375758
78,0.39452756953239443,0.9142813625335693,0.42366480922698974,0.887,0.00019188751412224013
79,0.40037421860694883,0.908777622127533,0.4241164665222168,0.88525,0.00016224876733854875
80,0.40012945070266726,0.9090666206359863,0.42924985122680664,0.88875,0.00013490760891745352
81,0.39886585512161254,0.9097036162376404,0.4254459054470062,0.8875,0.00010993897907372639
82,0.40481813859939575,0.9048090802192688,0.4241939558982849,0.8865,8.741131508622032e-05
83,0.3951773503303528,0.9133844014167786,0.4250243995189667,0.88575,6.738636371604686e-05
84,0.3962413137435913,0.9117067198753357,0.423672265291214,0.8875,4.991901196299404e-05
85,0.39741668186187745,0.9118491589546204,0.42249766969680785,0.88775,3.5057136624076215e-05
86,0.3976597608089447,0.9107893378257751,0.42807580494880676,0.886,2.2841473066561212e-05
87,0.40054173431396484,0.9100767081260681,0.42365610218048094,0.8875,1.330550357515991e-05
88,0.3935211791038513,0.9151414061546326,0.4247049970626831,0.88725,6.475365579410735e-06
89,0.4016510939121246,0.9081900727272034,0.4267444653511047,0.88775,2.3697800128034536e-06
90,0.3993925507545471,0.9104340516090393,0.4233818027973175,0.888,0.002
91,0.4075816340446472,0.9039152367591858,0.42319338846206667,0.88975,0.0019996574963130694
92,0.4032981640815735,0.9072123677253723,0.43484506392478944,0.8815,0.0019986302199871964
