epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,4.099371212387085,0.7007,2.406748769760132,0.8065,0.001
2,3.0315095934867857,0.74375,2.0356823983192442,0.8295,0.001
3,2.740567193222046,0.75055,1.8019383087158203,0.83625,0.001
4,2.3971848320007325,0.7616,1.6047515645027162,0.8405,0.001
5,2.186237364578247,0.7611,1.472559453010559,0.839,0.001
6,1.9350826000213623,0.77345,1.2352059860229492,0.84625,0.001
7,1.715772194004059,0.7705,1.0280445957183837,0.8445,0.001
8,1.457627873134613,0.7695,0.8681346971988678,0.8475,0.001
9,1.16799275431633,0.7736,0.6932362823486328,0.85375,0.001
10,0.975783047914505,0.78015,0.5937775528430939,0.86775,0.001
11,0.8378848639965057,0.79135,0.6268730645179749,0.85275,0.001
12,0.7428003506183625,0.7962,0.49233351421356203,0.87175,0.001
13,0.7025901351451874,0.8029,0.5047659471035003,0.87825,0.001
14,0.6426426565647125,0.8152,0.5612294840812683,0.85525,0.001
15,0.6082202961921692,0.81925,0.4863887231349945,0.87525,0.001
16,0.5724087386608124,0.83,0.44358089566230774,0.881,0.001
17,0.5337140217781067,0.8378,0.4277778375148773,0.883,0.001
18,0.521529866695404,0.84175,0.4329136164188385,0.87675,0.001
19,0.5017605466365814,0.8523,0.46021264576911924,0.86525,0.001
20,0.47806830155849456,0.85545,0.42623807311058043,0.87825,0.001
21,0.4686621285915375,0.8609,0.4079750201702118,0.88275,0.001
22,0.44638503522872924,0.8698,0.4262269968986511,0.877,0.001
23,0.4364248724937439,0.87495,0.40717984437942506,0.8815,0.001
24,0.42897807497978213,0.87325,0.39163887047767637,0.88675,0.001
25,0.4229314413547516,0.8785,0.42667496514320374,0.88,0.001
26,0.41206848530769347,0.8831,0.39823496794700625,0.88925,0.001
27,0.4020731036186218,0.8871,0.4152733724117279,0.8795,0.001
28,0.4012097836494446,0.8876,0.3990276916027069,0.88475,0.001
29,0.3922352646112442,0.8924,0.3910020664930344,0.8875,0.001
30,0.3879634397268295,0.89315,0.3953735158443451,0.88475,0.001
31,0.38461800820827485,0.8963,0.3910074887275696,0.886,0.001
32,0.37439929020404816,0.9006,0.3868830921649933,0.8875,0.001
33,0.3745040656328201,0.9009,0.38959569334983823,0.88575,0.001
34,0.3717269423246384,0.90445,0.3875473952293396,0.88725,0.001
35,0.3679821784734726,0.90615,0.3951673858165741,0.8865,0.001
36,0.36265202252864837,0.907,0.40380651819705965,0.88775,0.001
37,0.3559133724451065,0.9121,0.38789617800712584,0.888,0.001
38,0.35548755238056184,0.9106,0.38923962879180907,0.8855,0.0005
39,0.35173163373470306,0.91595,0.4005327410697937,0.8865,0.0005
40,0.3504372858524323,0.9153,0.3897723653316498,0.8885,0.0005
41,0.3501759336233139,0.91755,0.38338833951950074,0.88825,0.0005
